year,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1(km),fastServe2(km),avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,winner,results
2008,Novak Djokovic,Jo-Wilfried Tsonga,SRB,FRA,56%,71%,11,15,2,2,78%,71%,63%,48%,209,218,192,189,147,147,33%,40%,36%,29%,136,122,46,44,35,41,Novak Djokovic,4-6 6-4 6-3 7-6(2)
2009,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2
2010,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,Roger Federer,6-3 6-4 7-6(11)
2011,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,N/A,N/A,39%,75%,51%,33%,106,78,26,21,33,47,Novak Djokovic,6-4 6-2 6-3
2012,Novak Djokovic,Rafael Nadal,SRB,ESP,59%,67%,9,10,2,4,68%,66%,63%,45%,202,204,190,183,150,136,35%,67%,41%,34%,193,176,57,44,69,71,Novak Djokovic,5-7 6-4 6-2 6-7(5) 7-5
2013,Novak Djokovic,Andy Murray,SRB,GBR,63%,60%,8,7,3,5,75%,81%,66%,46%,209,211,188,186,155,133,27%,0%,33%,28%,139,126,47,29,61,46,Novak Djokovic,6-7(2) 7-6(3) 6-3 6-2
2014,Stanislas Wawrinka,Rafael Nadal,SUI,ESP,55%,78%,19,1,2,3,87%,60%,51%,42%,217,200,192,162,134,134,33%,33%,44%,29%,116,88,53,19,49,32,Stanislas Wawrinka,6-3 6-2 3-6 6-3
2015,Novak Djokovic,Andy Murray,SRB,GBR,60%,65%,8,10,1,3,59%,65%,62%,34%,205,213,190,184,158,134,56%,42%,46%,40%,136,118,53,41,40,49,Novak Djokovic,7_6(5) 6_7(4) 6_3 6_0
2016,Novak Djokovic,Andy Murray,SRB,GBR,66%,64%,7,12,3,5,74%,68%,53%,35%,199,213,185,190,153,151,42%,33%,44%,33%,123,99,31,40,41,65,Novak Djokovic,6_1 7_5 7_6(3)
2017,Roger Federer,Rafael Nadal,SUI,ESP,62%,73%,20,4,3,3,76%,63%,49%,56%,207,200,185,177,147,150,30%,24%,39%,34%,150,139%,73,35,57,28,Roger Federer,6_4 3_6 6_1 3_6 6_3
